,player,pos,team,opp_home,opp,game,week,day,rush_att,rush_yds,rush_yda,rush_td,rec_tgt,rec,rec_yds,rec_ydr,rec_td,rec_pct,rec_ydtgt,dk_pt,pass_cmp,pass_att,pass_yds,pass_td,pass_int,fmb,team_win,team_score,opp_score
289,Antonio Gibson,RB,WAS,0.0,NYG,2,2,Thu,13,69,5.31,0,2,2,4,2.0,0,100.00%,2.0,9.3,0,0,0,0,0,0,1,30,29
290,Tony Pollard,RB,DAL,1.0,NWE,6,6,Sun,10,41,4.1,0,3,3,22,7.33,0,100.00%,7.33,9.3,0,0,0,0,0,0,1,35,29
291,Devin Singletary,RB,BUF,1.0,TEN,6,6,Mon,5,27,5.4,0,5,5,16,3.2,0,100.00%,3.2,9.3,0,0,0,0,0,0,0,31,34
292,Alex Collins,RB,SEA,0.0,LAR,5,5,Thu,15,47,3.13,0,3,2,25,12.5,0,66.70%,8.33,9.2,0,0,0,0,0,0,0,17,26
293,Malcolm Brown,RB,MIA,1.0,LVR,3,3,Sun,7,31,4.43,1,2,0,0,0.0,0,0.00%,0.0,9.1,0,0,0,0,0,0,0,28,31
294,Chuba Hubbard,RB,CAR,1.0,DAL,4,4,Sun,13,57,4.38,0,2,2,14,7.0,0,100.00%,7.0,9.1,0,0,0,0,0,0,0,28,36
295,D'Andre Swift,RB,DET,0.0,PHI,8,8,Sun,12,27,2.25,0,5,5,24,4.8,0,100.00%,4.8,9.1,0,0,0,0,0,1,0,6,44
296,Saquon Barkley,RB,NYG,1.0,WAS,2,2,Thu,13,57,4.38,0,3,2,12,6.0,0,66.70%,4.0,8.9,0,0,0,0,0,0,0,29,30
297,Melvin Gordon,RB,DEN,1.0,JAX,2,2,Sun,13,31,2.38,0,2,2,38,19.0,0,100.00%,19.0,8.9,0,0,0,0,0,0,1,23,13
298,Aaron Jones,RB,GNB,0.0,WAS,7,7,Sun,6,19,3.17,0,5,5,20,4.0,0,100.00%,4.0,8.9,0,0,0,0,0,0,1,24,10
299,Trey Sermon,RB,SFO,0.0,SEA,4,4,Sun,19,89,4.68,0,0,0,0,0.0,0,0.00%,0.0,8.9,0,0,0,0,0,0,0,21,28
300,D'Andre Swift,RB,DET,1.0,CHI,4,4,Sun,8,16,2.0,0,6,4,33,8.25,0,66.70%,5.5,8.9,0,0,0,0,0,0,0,14,24
301,Javonte Williams,RB,DEN,0.0,BAL,4,4,Sun,7,48,6.86,0,3,3,11,3.67,0,100.00%,3.67,8.9,0,0,0,0,0,0,0,7,23
302,Jamycal Hasty,RB,SFO,1.0,DET,1,1,Sun,1,3,3.0,1,1,1,15,15.0,0,100.00%,15.0,8.8,0,0,0,0,0,0,1,41,33
303,Darrell Henderson,RB,LAR,0.0,TEN,9,9,Sun,11,55,5.0,0,4,3,3,1.0,0,75.00%,0.75,8.8,0,0,0,0,0,0,0,16,28
304,Khalil Herbert,RB,CHI,0.0,SFO,8,8,Sun,23,72,3.13,0,2,2,-4,-2.0,0,100.00%,-2.0,8.8,0,0,0,0,0,0,0,22,33
305,Godwin Igwebuike,RB,DET,0.0,PHI,8,8,Sun,3,18,6.0,0,3,3,40,13.33,0,100.00%,13.33,8.8,0,0,0,0,0,0,0,6,44
306,Latavius Murray,RB,BAL,1.0,LVR,1,1,Mon,10,28,2.8,1,0,0,0,0.0,0,0.00%,0.0,8.8,0,0,0,0,0,0,0,27,33
307,Kenyan Drake,RB,LVR,0.0,MIA,3,3,Sun,8,24,3.0,0,6,3,33,11.0,0,50.00%,5.5,8.7,0,0,0,0,0,0,1,31,28
308,Melvin Gordon,RB,DEN,0.0,BAL,4,4,Sun,9,56,6.22,0,4,2,11,5.5,0,50.00%,2.75,8.7,0,0,0,0,0,0,0,7,23
309,Cordarrelle Patterson,RB,ATL,0.0,PHI,1,1,Sun,7,54,7.71,0,2,2,13,6.5,0,100.00%,6.5,8.7,0,0,0,0,0,0,0,6,32
310,Myles Gaskin,RB,MIA,0.0,BUF,2,2,Sun,5,25,5.0,0,5,4,21,5.25,0,80.00%,4.2,8.6,0,0,0,0,0,0,0,0,35
311,Jeremy McNichols,RB,TEN,0.0,IND,3,3,Sun,2,6,3.0,0,2,1,10,10.0,1,50.00%,5.0,8.6,0,0,0,0,0,0,1,25,16
312,Elijhaa Penny,RB,NYG,0.0,LAR,6,6,Sun,3,15,5.0,1,2,1,1,1.0,0,50.00%,0.5,8.6,0,0,0,0,0,0,0,11,38
313,Miles Sanders,RB,PHI,0.0,TAM,6,6,Thu,9,56,6.22,0,4,2,10,5.0,0,50.00%,2.5,8.6,0,0,0,0,0,0,0,22,28
314,Myles Gaskin,RB,MIA,1.0,BUF,8,8,Sun,12,36,3.0,0,4,3,19,6.33,0,75.00%,4.75,8.5,0,0,0,0,0,0,0,11,26
315,Ronald Jones II,RB,TAM,1.0,NWE,4,4,Sun,6,25,4.17,1,0,0,0,0.0,0,0.00%,0.0,8.5,0,0,0,0,0,0,1,19,17
316,Phillip Lindsay,RB,HOU,0.0,JAX,1,1,Sun,8,25,3.13,1,1,0,0,0.0,0,0.00%,0.0,8.5,0,0,0,0,0,0,1,37,21
317,Miles Sanders,RB,PHI,1.0,DAL,3,3,Mon,2,27,13.5,0,4,3,28,9.33,0,75.00%,7.0,8.5,0,0,0,0,0,0,0,21,41
318,Jamaal Williams,RB,DET,1.0,MIN,5,5,Sun,13,57,4.38,0,2,2,8,4.0,0,100.00%,4.0,8.5,0,0,0,0,0,0,0,17,19
319,Nick Chubb,RB,CLE,0.0,CHI,3,3,Sun,22,84,3.82,0,0,0,0,0.0,0,0.00%,0.0,8.4,0,0,0,0,0,0,1,26,6
320,Antonio Gibson,RB,WAS,1.0,DEN,8,8,Sun,8,34,4.25,0,3,3,20,6.67,0,100.00%,6.67,8.4,0,0,0,0,0,0,0,10,17
321,James Robinson,RB,JAX,1.0,HOU,1,1,Sun,5,25,5.0,0,6,3,29,9.67,0,50.00%,4.83,8.4,0,0,0,0,0,1,0,21,37
322,Javonte Williams,RB,DEN,1.0,JAX,2,2,Sun,13,64,4.92,0,1,1,10,10.0,0,100.00%,10.0,8.4,0,0,0,0,0,0,1,23,13
