,player,pos,team,opp_home,opp,game,week,day,rec_tgt,rec,rec_yds,rec_ydr,rec_td,rec_pct,rec_ydtgt,dk_pt,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,fmb,team_win,team_score,opp_score
332,O.J. Howard,TE,TAM,0.0,ATL,2,2,Sun,1,1,21,21.0,0,100.00%,21.0,3.1,0,0,0,0,0,0,0,0,0,1,48,25
333,Dalton Schultz,TE,DAL,1.0,MIN,7,8,Sun,7,2,11,5.5,0,28.60%,1.57,3.1,0,0,0,0,0,0,0,0,0,1,20,16
334,Blake Bell,TE,KAN,1.0,BAL,2,2,Sun,1,1,20,20.0,0,100.00%,20.0,3.0,0,0,0,0,0,0,0,0,0,0,35,36
335,Eric Ebron,TE,PIT,0.0,DEN,5,5,Sun,2,2,10,5.0,0,100.00%,5.0,3.0,0,0,0,0,0,0,0,0,0,1,27,19
336,Ryan Griffin,TE,NYJ,0.0,NWE,2,2,Sun,2,2,10,5.0,0,100.00%,5.0,3.0,0,0,0,0,0,0,0,0,0,0,6,25
337,T.J. Hockenson,TE,DET,0.0,BAL,3,3,Sun,2,2,10,5.0,0,100.00%,5.0,3.0,0,0,0,0,0,0,0,0,0,0,17,19
338,Donald Parham,TE,LAC,1.0,BAL,6,6,Sun,2,2,10,5.0,0,100.00%,5.0,3.0,0,0,0,0,0,0,0,0,0,0,6,34
339,Geoff Swaim,TE,TEN,1.0,SEA,2,2,Sun,2,2,10,5.0,0,100.00%,5.0,3.0,0,0,0,0,0,0,0,0,0,1,33,30
340,Tommy Sweeney,TE,BUF,1.0,JAX,8,9,Sun,2,2,10,5.0,0,100.00%,5.0,3.0,0,0,0,0,0,0,0,0,1,0,6,9
341,Robert Tonyan,TE,GNB,1.0,CHI,6,6,Sun,3,2,10,5.0,0,66.70%,3.33,3.0,0,0,0,0,0,0,0,0,0,1,24,14
342,Stephen Anderson,TE,LAC,0.0,DAL,2,2,Sun,2,2,9,4.5,0,100.00%,4.5,2.9,0,0,0,0,0,0,0,0,0,0,17,20
343,Eric Ebron,TE,PIT,1.0,BUF,1,1,Sun,2,1,19,19.0,0,50.00%,9.5,2.9,0,0,0,0,0,0,0,0,0,1,23,16
344,Brevin Jordan,TE,HOU,1.0,MIA,9,9,Sun,2,2,9,4.5,0,100.00%,4.5,2.9,0,0,0,0,0,0,0,0,0,0,9,17
